시점,구분별,영업이익실적SBHI
2015.12,운수업,81.6
2015.12,숙박 및 음식점업,95.5
2015.12,"출판,영상,방송통신 및 정보서비스업",87
2015.12,부동산업 및 임대업,78
2015.12,"전문,과학 및 기술서비스업",91.3
2015.12,사업시설관리 및 사업지원서비스업,83.1
2015.12,교육서비스업,87.4
2015.12,"예술,스포츠 및 여가관련서비스업",82.9
2015.12,수리 및 기타개인서비스업,85.9
2016.01,전산업,74.8
2016.01,식료품,82.3
2016.01,음료,91.7
2016.01,섬유제품;의복제외,63.6
2016.01,"의복,의복악세서리및모피제품",70.2
2016.01,"가죽,가방및신발",62.5
2016.01,목재및나무제품;가구제외,64.2
2016.01,"펄프,종이및종이제품",81.3
2016.01,인쇄및기록매체복제업,76.2
2016.01,화학물질및화학제품;의약품제외,88.8
2016.01,의료용물질및의약품,92.3
2016.01,고무제품및플라스틱제품,71.7
2016.01,비금속광물제품,59.6
2016.01,1차금속,72.7
2016.01,금속가공제품;기계및가구제외,72.7
2016.01,"전자부품,컴퓨터,영상,음향및통신장비",84.3
2016.01,"의료,정밀,광학기기및시계",78.9
2016.01,전기장비,81
2016.01,기타기계및장비,73.3
2016.01,자동차및트레일러,79.1
2016.01,기타운송장비,83.9
2016.01,가구,72.8
2016.01,기타제품,67.8
2016.01,비제조업,74.2
2016.01,건설업,66.1
2016.01,도매 및 소매업,75
2016.01,운수업,79.5
2016.01,숙박 및 음식점업,78.3
2016.01,"출판,영상,방송통신 및 정보서비스업",84.1
2016.01,부동산업 및 임대업,71.7
2016.01,"전문,과학 및 기술서비스업",85.4
2016.01,사업시설관리 및 사업지원서비스업,73.1
2016.01,교육서비스업,81.9
2016.01,"예술,스포츠 및 여가관련서비스업",62.2
2016.01,수리 및 기타개인서비스업,71.5
2016.02,전산업,70.2
2016.02,식료품,80.5
2016.02,음료,78.5
2016.02,섬유제품;의복제외,60.5
2016.02,"의복,의복악세서리및모피제품",56.7
2016.02,"가죽,가방및신발",62
2016.02,목재및나무제품;가구제외,54.7
2016.02,"펄프,종이및종이제품",67.5
2016.02,인쇄및기록매체복제업,71.9
2016.02,화학물질및화학제품;의약품제외,69.2
2016.02,의료용물질및의약품,83.5
2016.02,고무제품및플라스틱제품,68.3
2016.02,비금속광물제품,60.6
