구분별,시점,경기실적SBHI
제조업,2021.04 월,85.3
제조업,2021.05 월,81.9
제조업,2021.06 월,83.7
제조업,2021.07 월,79.7
제조업,2021.08 월,75.1
제조업,2021.09 월,80.3
제조업,2021.10 월,81.9
제조업,2021.11 월,85.2
제조업,2021.12 월,83.7
제조업,2022.01 월,82.7
제조업,2022.02 월,79
제조업,2022.03 월,83.1
제조업,2022.04 월,83.8
제조업계절조정,2015.01 월,82.4
제조업계절조정,2015.02 월,80.4
제조업계절조정,2015.03 월,82.7
제조업계절조정,2015.04 월,81.8
제조업계절조정,2015.05 월,81.6
제조업계절조정,2015.06 월,79.7
제조업계절조정,2015.07 월,79.5
제조업계절조정,2015.08 월,82
제조업계절조정,2015.09 월,78.4
제조업계절조정,2015.10 월,82.9
제조업계절조정,2015.11 월,82.6
제조업계절조정,2015.12 월,82
제조업계절조정,2016.01 월,81.9
제조업계절조정,2016.02 월,81.6
제조업계절조정,2016.03 월,84.9
제조업계절조정,2016.04 월,84.8
제조업계절조정,2016.05 월,86.2
제조업계절조정,2016.06 월,84.8
제조업계절조정,2016.07 월,86.1
제조업계절조정,2016.08 월,85.7
제조업계절조정,2016.09 월,79.9
제조업계절조정,2016.10 월,83
제조업계절조정,2016.11 월,82.4
제조업계절조정,2016.12 월,82.3
제조업계절조정,2017.01 월,81.7
제조업계절조정,2017.02 월,84.8
제조업계절조정,2017.03 월,84.5
제조업계절조정,2017.04 월,83
제조업계절조정,2017.05 월,81.6
제조업계절조정,2017.06 월,83.7
제조업계절조정,2017.07 월,84.1
제조업계절조정,2017.08 월,82.7
제조업계절조정,2017.09 월,83.1
제조업계절조정,2017.10 월,79.1
제조업계절조정,2017.11 월,85
제조업계절조정,2017.12 월,83.8
제조업계절조정,2018.01 월,83.9
제조업계절조정,2018.02 월,82.6
제조업계절조정,2018.03 월,83.2
제조업계절조정,2018.04 월,84
제조업계절조정,2018.05 월,84.4
제조업계절조정,2018.06 월,84
제조업계절조정,2018.07 월,80.9
제조업계절조정,2018.08 월,81.7
제조업계절조정,2018.09 월,75.4
제조업계절조정,2018.10 월,81.3
제조업계절조정,2018.11 월,80.6
제조업계절조정,2018.12 월,82.4
제조업계절조정,2019.01 월,81.2
제조업계절조정,2019.02 월,76.6
제조업계절조정,2019.03 월,80.7
제조업계절조정,2019.04 월,81.9
제조업계절조정,2019.05 월,82
제조업계절조정,2019.06 월,81.5
제조업계절조정,2019.07 월,80.7
제조업계절조정,2019.08 월,79.3
제조업계절조정,2019.09 월,72
제조업계절조정,2019.10 월,78.9
제조업계절조정,2019.11 월,80.6
제조업계절조정,2019.12 월,82.2
제조업계절조정,2020.01 월,80.7
제조업계절조정,2020.02 월,75.6
제조업계절조정,2020.03 월,67.8
제조업계절조정,2020.04 월,57.9
제조업계절조정,2020.05 월,57.7
제조업계절조정,2020.06 월,63
제조업계절조정,2020.07 월,71.5
제조업계절조정,2020.08 월,72.2
제조업계절조정,2020.09 월,69.3
제조업계절조정,2020.10 월,77.6
제조업계절조정,2020.11 월,78.7
제조업계절조정,2020.12 월,76.7
제조업계절조정,2021.01 월,76.7
제조업계절조정,2021.02 월,78.9
제조업계절조정,2021.03 월,82.4
제조업계절조정,2021.04 월,82.6
제조업계절조정,2021.05 월,81.8
제조업계절조정,2021.06 월,83.2
제조업계절조정,2021.07 월,79.8
제조업계절조정,2021.08 월,79.4
제조업계절조정,2021.09 월,75.1
제조업계절조정,2021.10 월,80.6
제조업계절조정,2021.11 월,83.5
제조업계절조정,2021.12 월,83.7
제조업계절조정,2022.01 월,86.1
제조업계절조정,2022.02 월,83.4
제조업계절조정,2022.03 월,81.7
제조업계절조정,2022.04 월,80.9
소기업,2015.01 월,74.4
소기업,2015.02 월,69.6
소기업,2015.03 월,83.2
소기업,2015.04 월,82.8
소기업,2015.05 월,81.7
소기업,2015.06 월,77.9
소기업,2015.07 월,77.8
소기업,2015.08 월,75.8
소기업,2015.09 월,81.3
소기업,2015.10 월,80.8
소기업,2015.11 월,79.7
소기업,2015.12 월,77.5
소기업,2016.01 월,73.1
소기업,2016.02 월,67.4
소기업,2016.03 월,80.3
소기업,2016.04 월,82.5
소기업,2016.05 월,83
소기업,2016.06 월,80.7
소기업,2016.07 월,80.7
소기업,2016.08 월,75.3
소기업,2016.09 월,81
소기업,2016.10 월,81.7
소기업,2016.11 월,79.8
소기업,2016.12 월,78.7
소기업,2017.01 월,72.6
소기업,2017.02 월,73.5
